PWSID,System_Name,County,Regulating_Agency,Water_Quality_Risk_Level_Display,Accessability_Risk_Level_Display,Affordability_Risk_Level_Display,TMF_Capacity_Risk_Level_Display,POPULATION ,SAFER_STATUS,Distinct count of PWSID,Funding Since 2017
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Low Risk,Low Risk,Low Risk,50,Not At-Risk,1,$0 
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,No Risk,Medium Risk,Low Risk,459,Not At-Risk,1,$0 
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Medium Risk,No Risk,No Risk,524,Not At-Risk,1,"$3,000,000 "
CA0105009,MOUNTAIN HOUSE SCHOOL,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,High Risk,No Risk,No Risk,50,At-Risk,1,"$274,408 "
CA0110001,ALAMEDA COUNTY WATER DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"344,000",Not Assessed,1,$0 
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Medium Risk,No Risk,No Risk,No Risk,"60,414",Not At-Risk,1,$0 
CA0110005,EAST BAY MUD,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"1,442,800",Not Assessed,1,"$26,043,066 "
CA0110006,CITY OF HAYWARD,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,"162,954",Not Assessed,1,$0 
CA0110008,CITY OF PLEASANTON,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Medium Risk,No Risk,No Risk,Low Risk,"76,689",Failing,1,"$1,000,000 "
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,No Risk,No Risk,Low Risk,"98,776",Not At-Risk,1,$0 
CA0110010,ZONE 7 WATER AGENCY,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,40,Not Assessed,1,$0 
CA0110011,CITY OF LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,No Risk,No Risk,No Risk,"38,892",Not At-Risk,1,$0 
CA0110012,TOWN OF SUNOL - SFPUC,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Medium Risk,No Risk,Low Risk,281,Not At-Risk,1,$0 
CA0110016,ALAMEDA POINT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,No Risk,Medium Risk,Low Risk,Low Risk,"1,400",Not At-Risk,1,$0 
CA0110018,SFPUC-PLEASANTON WELLS,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,Not Assessed,Not Assessed,Not Assessed,Not Assessed,1,Not Assessed,1,$0 
CA0202501,DIAMOND VALLEY SCHOOL,ALPINE,LPA32 - ALPINE COUNTY,No Risk,High Risk,No Risk,No Risk,100,Not At-Risk,1,$0 
CA0202503,WOODFORDS MUTUAL WATER COMPANY,ALPINE,LPA32 - ALPINE COUNTY,No Risk,High Risk,No Risk,No Risk,50,Not At-Risk,1,$0 
