id,year,status
CA0103040,2020,downloaded
CA0103040,2021,downloaded
CA0103040,2022,downloaded
CA0103040,2023,downloaded
CA0103041,2020,missing
CA0103041,2021,missing
CA0103041,2022,downloaded
CA0103041,2023,downloaded
CA0105002,2020,missing
CA0105002,2021,missing
CA0105002,2022,missing
CA0105002,2023,missing
CA0105008,2020,downloaded
CA0105008,2021,downloaded
CA0105008,2022,downloaded
CA0105008,2023,missing
CA0105009,2020,missing
CA0105009,2021,missing
CA0105009,2022,missing
CA0105009,2023,missing
CA0105010,2020,missing
CA0105010,2021,missing
CA0105010,2022,missing
CA0105010,2023,missing
CA0105012,2020,missing
CA0105012,2021,missing
CA0105012,2022,missing
CA0105012,2023,missing
CA0105013,2020,missing
CA0105013,2021,missing
CA0105013,2022,missing
CA0105013,2023,missing
CA0105016,2020,missing
CA0105016,2021,missing
CA0105016,2022,missing
CA0105016,2023,missing
CA0105017,2020,missing
CA0105017,2021,missing
CA0105017,2022,missing
CA0105017,2023,missing
CA0105018,2020,missing
CA0105018,2021,missing
CA0105018,2022,missing
CA0105018,2023,missing
CA0105019,2020,missing
CA0105019,2021,missing
CA0105019,2022,missing
CA0105019,2023,missing
CA0105020,2020,downloaded
CA0105020,2021,downloaded
CA0105020,2022,missing
CA0105020,2023,downloaded
CA0110001,2020,downloaded
CA0110001,2021,downloaded
CA0110001,2022,missing
CA0110001,2023,downloaded
CA0110003,2020,downloaded
CA0110003,2021,downloaded
CA0110003,2022,downloaded
CA0110003,2023,downloaded
CA0110005,2020,downloaded
CA0110005,2021,downloaded
CA0110005,2022,downloaded
CA0110005,2023,downloaded
CA0110006,2020,downloaded
CA0110006,2021,downloaded
CA0110006,2022,missing
CA0110006,2023,downloaded
CA0110008,2020,downloaded
CA0110008,2021,downloaded
CA0110008,2022,downloaded
CA0110008,2023,downloaded
CA0110009,2020,downloaded
CA0110009,2021,downloaded
CA0110009,2022,downloaded
CA0110009,2023,downloaded
CA0110011,2020,downloaded
CA0110011,2021,downloaded
CA0110011,2022,missing
CA0110011,2023,downloaded
CA0110012,2020,downloaded
CA0110012,2021,downloaded
CA0110012,2022,downloaded
CA0110012,2023,downloaded
CA0110016,2020,missing
CA0110016,2021,downloaded
CA0110016,2022,downloaded
CA0110016,2023,downloaded
CA0202501,2020,downloaded
CA0202501,2021,missing
CA0202501,2022,missing
CA0202501,2023,downloaded
CA0202502,2020,missing
CA0202502,2021,missing
CA0202502,2022,missing
CA0202502,2023,missing
CA0202503,2020,downloaded
CA0202503,2021,downloaded
CA0202503,2022,downloaded
CA0202503,2023,downloaded
CA0202504,2020,downloaded
CA0202504,2021,downloaded
CA0202504,2022,downloaded
CA0202504,2023,downloaded
CA0202505,2020,missing
CA0202505,2021,missing
CA0202505,2022,missing
CA0202505,2023,missing
CA0202506,2020,missing
CA0202506,2021,missing
CA0202506,2022,missing
CA0202506,2023,missing
CA0202509,2020,missing
CA0202509,2021,missing
CA0202509,2022,missing
CA0202509,2023,missing
CA0202512,2020,missing
CA0202512,2021,missing
CA0202512,2022,missing
CA0202512,2023,missing
CA0202513,2020,missing
CA0202513,2021,missing
CA0202513,2022,missing
CA0202513,2023,missing
CA0202515,2020,missing
CA0202515,2021,missing
CA0202515,2022,missing
CA0202515,2023,missing
CA0202516,2020,missing
CA0202516,2021,missing
CA0202516,2022,missing
CA0202516,2023,missing
CA0202517,2020,missing
CA0202517,2021,missing
CA0202517,2022,missing
CA0202517,2023,missing
CA0202519,2020,missing
CA0202519,2021,missing
CA0202519,2022,missing
CA0202519,2023,missing
CA0202520,2020,missing
CA0202520,2021,missing
CA0202520,2022,missing
CA0202520,2023,missing
CA0202522,2020,missing
CA0202522,2021,downloaded
CA0202522,2022,missing
CA0202522,2023,downloaded
CA0202523,2020,missing
CA0202523,2021,missing
CA0202523,2022,missing
CA0202523,2023,missing
CA0202524,2020,missing
CA0202524,2021,missing
CA0202524,2022,missing
CA0202524,2023,missing
CA0202525,2020,missing
CA0202525,2021,missing
CA0202525,2022,missing
CA0202525,2023,missing
CA0202529,2020,missing
CA0202529,2021,missing
CA0202529,2022,missing
CA0202529,2023,missing
CA0202532,2020,missing
CA0202532,2021,missing
CA0202532,2022,missing
CA0202532,2023,missing
CA0202542,2020,missing
CA0202542,2021,missing
CA0202542,2022,missing
CA0202542,2023,missing
CA0202547,2020,missing
CA0202547,2021,missing
CA0202547,2022,missing
CA0202547,2023,missing
CA0202548,2020,missing
CA0202548,2021,missing
CA0202548,2022,missing
CA0202548,2023,missing
CA0202549,2020,missing
CA0202549,2021,missing
CA0202549,2022,missing
CA0202549,2023,missing
CA0202550,2020,missing
CA0202550,2021,missing
CA0202550,2022,missing
CA0202550,2023,missing
CA0202552,2020,missing
CA0202552,2021,missing
CA0202552,2022,missing
CA0202552,2023,missing
CA0202554,2020,missing
CA0202554,2021,missing
CA0202554,2022,missing
CA0202554,2023,missing
CA0202556,2020,missing
CA0202556,2021,missing
CA0202556,2022,missing
CA0202556,2023,missing
CA0202557,2020,missing
CA0202557,2021,missing
CA0202557,2022,missing
CA0202557,2023,missing
CA0202562,2020,missing
CA0202562,2021,missing
CA0202562,2022,missing
CA0202562,2023,missing
CA0202564,2020,missing
CA0202564,2021,missing
CA0202564,2022,missing
CA0202564,2023,missing
CA0202565,2020,missing
CA0202565,2021,missing
CA0202565,2022,missing
CA0202565,2023,missing
CA0202566,2020,missing
CA0202566,2021,missing
CA0202566,2022,missing
CA0202566,2023,missing
CA0202599,2020,downloaded
CA0202599,2021,missing
CA0202599,2022,missing
CA0202599,2023,downloaded
CA0210001,2020,downloaded
CA0210001,2021,downloaded
CA0210001,2022,downloaded
CA0210001,2023,downloaded
CA0210002,2020,downloaded
CA0210002,2021,downloaded
CA0210002,2022,downloaded
CA0210002,2023,downloaded
CA0300007,2020,missing
CA0300007,2021,missing
CA0300007,2022,missing
CA0300007,2023,missing
CA0300010,2020,missing
CA0300010,2021,missing
CA0300010,2022,missing
CA0300010,2023,missing
CA0300011,2020,missing
CA0300011,2021,downloaded
CA0300011,2022,downloaded
CA0300011,2023,downloaded
CA0300016,2020,missing
CA0300016,2021,downloaded
CA0300016,2022,missing
CA0300016,2023,downloaded
CA0300019,2020,missing
CA0300019,2021,missing
CA0300019,2022,downloaded
CA0300019,2023,missing
CA0300024,2020,downloaded
CA0300024,2021,downloaded
CA0300024,2022,downloaded
CA0300024,2023,downloaded
CA0300028,2020,missing
CA0300028,2021,missing
CA0300028,2022,missing
CA0300028,2023,missing
CA0300032,2020,missing
CA0300032,2021,missing
CA0300032,2022,missing
CA0300032,2023,missing
CA0300033,2020,missing
CA0300033,2021,missing
CA0300033,2022,missing
CA0300033,2023,missing
CA0300034,2020,missing
CA0300034,2021,missing
CA0300034,2022,missing
