id,year,status
CA0110010,2020,downloaded
CA0110010,2021,downloaded
CA0110010,2022,downloaded
CA0110010,2023,downloaded
CA0110018,2020,missing
CA0110018,2021,missing
CA0110018,2022,missing
CA0110018,2023,missing
CA0110650,2020,downloaded
CA0110650,2021,downloaded
CA0110650,2022,downloaded
CA0110650,2023,downloaded
CA0110701,2020,downloaded
CA0110701,2021,downloaded
CA0110701,2022,downloaded
CA0110701,2023,downloaded
CA0205425,2020,downloaded
CA0205425,2021,missing
CA0205425,2022,missing
CA0205425,2023,missing
CA0300055,2020,missing
CA0300055,2021,missing
CA0300055,2022,missing
CA0300055,2023,missing
CA0300073,2020,downloaded
CA0300073,2021,downloaded
CA0300073,2022,downloaded
CA0300073,2023,downloaded
CA0400065,2020,missing
CA0400065,2021,missing
CA0400065,2022,downloaded
CA0400065,2023,downloaded
CA0400140,2020,missing
CA0400140,2021,missing
CA0400140,2022,missing
CA0400140,2023,missing
CA0400158,2020,downloaded
CA0400158,2021,missing
CA0400158,2022,downloaded
CA0400158,2023,downloaded
CA0409177,2020,downloaded
CA0409177,2021,downloaded
CA0409177,2022,downloaded
CA0409177,2023,missing
CA0409187,2020,missing
CA0409187,2021,missing
CA0409187,2022,downloaded
CA0409187,2023,missing
CA0409188,2020,missing
CA0409188,2021,missing
CA0409188,2022,missing
CA0409188,2023,downloaded
CA0409189,2020,missing
CA0409189,2021,missing
CA0409189,2022,missing
CA0409189,2023,missing
CA0409194,2020,downloaded
CA0409194,2021,downloaded
CA0409194,2022,downloaded
CA0409194,2023,missing
CA0409197,2020,downloaded
CA0409197,2021,downloaded
CA0409197,2022,downloaded
CA0409197,2023,downloaded
CA0500009,2020,missing
CA0500009,2021,missing
CA0500009,2022,missing
CA0500009,2023,missing
CA0500039,2020,missing
CA0500039,2021,downloaded
CA0500039,2022,downloaded
CA0500039,2023,downloaded
CA0500053,2020,downloaded
CA0500053,2021,downloaded
CA0500053,2022,downloaded
CA0500053,2023,downloaded
CA0500097,2020,missing
CA0500097,2021,missing
CA0500097,2022,missing
CA0500097,2023,missing
CA0706050,2020,missing
CA0706050,2021,missing
CA0706050,2022,missing
CA0706050,2023,missing
CA0710010,2020,downloaded
CA0710010,2021,downloaded
CA0710010,2022,downloaded
CA0710010,2023,downloaded
CA0710011,2020,downloaded
CA0710011,2021,downloaded
CA0710011,2022,downloaded
CA0710011,2023,downloaded
CA0900649,2020,downloaded
CA0900649,2021,downloaded
CA0900649,2022,downloaded
CA0900649,2023,downloaded
CA0900659,2020,downloaded
CA0900659,2021,downloaded
CA0900659,2022,downloaded
CA0900659,2023,downloaded
CA0900660,2020,missing
CA0900660,2021,downloaded
CA0900660,2022,downloaded
CA0900660,2023,downloaded
CA1000643,2020,downloaded
CA1000643,2021,downloaded
CA1000643,2022,downloaded
CA1000643,2023,downloaded
CA1000645,2020,downloaded
CA1000645,2021,downloaded
CA1000645,2022,downloaded
CA1000645,2023,downloaded
CA1000663,2020,missing
CA1000663,2021,downloaded
CA1000663,2022,downloaded
CA1000663,2023,downloaded
CA1000673,2020,missing
CA1000673,2021,missing
CA1000673,2022,missing
CA1000673,2023,missing
CA1100101,2020,missing
CA1100101,2021,downloaded
CA1100101,2022,downloaded
CA1100101,2023,downloaded
CA1100104,2020,missing
CA1100104,2021,downloaded
CA1100104,2022,downloaded
CA1100104,2023,missing
CA1100232,2020,missing
CA1100232,2021,missing
CA1100232,2022,downloaded
CA1100232,2023,downloaded
CA1100440,2020,missing
CA1100440,2021,missing
CA1100440,2022,downloaded
CA1100440,2023,downloaded
CA1100448,2020,missing
CA1100448,2021,missing
CA1100448,2022,missing
CA1100448,2023,downloaded
CA1100527,2020,missing
CA1100527,2021,missing
CA1100527,2022,downloaded
CA1100527,2023,downloaded
CA1100749,2020,missing
CA1100749,2021,missing
CA1100749,2022,missing
CA1100749,2023,missing
CA1105003,2020,downloaded
CA1105003,2021,missing
CA1105003,2022,downloaded
CA1105003,2023,downloaded
CA1105005,2020,missing
CA1105005,2021,downloaded
CA1105005,2022,downloaded
CA1105005,2023,downloaded
CA1105006,2020,missing
CA1105006,2021,missing
CA1105006,2022,downloaded
CA1105006,2023,downloaded
CA1110800,2020,downloaded
CA1110800,2021,downloaded
CA1110800,2022,downloaded
CA1110800,2023,downloaded
CA1206016,2020,missing
CA1206016,2021,downloaded
CA1206016,2022,downloaded
CA1206016,2023,downloaded
CA1300642,2020,downloaded
CA1300642,2021,downloaded
CA1300642,2022,downloaded
CA1300642,2023,downloaded
CA1300653,2020,missing
CA1300653,2021,missing
CA1300653,2022,downloaded
CA1300653,2023,downloaded
CA1300676,2020,missing
CA1300676,2021,downloaded
CA1300676,2022,downloaded
CA1300676,2023,downloaded
CA1300679,2020,missing
CA1300679,2021,missing
CA1300679,2022,downloaded
CA1300679,2023,downloaded
CA1300685,2020,missing
CA1300685,2021,missing
CA1300685,2022,downloaded
CA1300685,2023,downloaded
CA1300693,2020,missing
CA1300693,2021,missing
CA1300693,2022,missing
CA1300693,2023,downloaded
CA1310016,2020,downloaded
CA1310016,2021,downloaded
CA1310016,2022,missing
CA1310016,2023,downloaded
CA1310019,2020,downloaded
CA1310019,2021,downloaded
CA1310019,2022,missing
CA1310019,2023,downloaded
CA1410002,2020,missing
CA1410002,2021,missing
CA1410002,2022,missing
CA1410002,2023,missing
CA1410003,2020,missing
CA1410003,2021,missing
CA1410003,2022,missing
CA1410003,2023,missing
CA1410004,2020,missing
CA1410004,2021,missing
CA1410004,2022,missing
CA1410004,2023,missing
CA1410510,2020,missing
CA1410510,2021,missing
CA1410510,2022,missing
CA1410510,2023,missing
CA1500517,2020,downloaded
CA1500517,2021,downloaded
CA1500517,2022,downloaded
CA1500517,2023,downloaded
CA1502221,2020,downloaded
CA1502221,2021,downloaded
CA1502221,2022,downloaded
CA1502221,2023,downloaded
CA1502229,2020,downloaded
CA1502229,2021,downloaded
CA1502229,2022,downloaded
CA1502229,2023,downloaded
CA1502231,2020,downloaded
CA1502231,2021,downloaded
CA1502231,2022,downloaded
CA1502231,2023,downloaded
CA1502561,2020,downloaded
CA1502561,2021,downloaded
CA1502561,2022,downloaded
CA1502561,2023,downloaded
CA1502580,2020,downloaded
CA1502580,2021,downloaded
CA1502580,2022,downloaded
CA1502580,2023,downloaded
CA1502581,2020,downloaded
CA1502581,2021,downloaded
CA1502581,2022,downloaded
CA1502581,2023,downloaded
CA1502615,2020,downloaded
CA1502615,2021,downloaded
CA1502615,2022,downloaded
CA1502615,2023,missing
CA1502691,2020,downloaded
CA1502691,2021,downloaded
CA1502691,2022,downloaded
CA1502691,2023,downloaded
CA1502697,2020,downloaded
CA1502697,2021,downloaded
CA1502697,2022,downloaded
CA1502697,2023,downloaded
CA1502759,2020,downloaded
CA1502759,2021,downloaded
CA1502759,2022,downloaded
CA1502759,2023,downloaded
CA1502763,2020,downloaded
CA1502763,2021,downloaded
CA1502763,2022,downloaded
CA1502763,2023,downloaded
CA1502771,2020,downloaded
CA1502771,2021,downloaded
CA1502771,2022,downloaded
CA1502771,2023,downloaded
CA1502820,2020,downloaded
CA1502820,2021,downloaded
CA1502820,2022,downloaded
CA1502820,2023,downloaded
CA1503104,2020,downloaded
CA1503104,2021,downloaded
CA1503104,2022,downloaded
CA1503104,2023,downloaded
CA1503194,2020,downloaded
CA1503194,2021,downloaded
CA1503194,2022,downloaded
CA1503194,2023,downloaded
CA1503209,2020,downloaded
CA1503209,2021,downloaded
CA1503209,2022,downloaded
CA1503209,2023,downloaded
CA1503275,2020,downloaded
CA1503275,2021,downloaded
CA1503275,2022,downloaded
CA1503275,2023,downloaded
CA1503330,2020,downloaded
CA1503330,2021,downloaded
CA1503330,2022,downloaded
CA1503330,2023,downloaded
CA1503336,2020,downloaded
CA1503336,2021,downloaded
CA1503336,2022,downloaded
