PWS ID,PWS Name,Primacy Agency,PWS Type,Population Served Count,Service Connections Count,Primary Source,Primary Source Code,GW SW,GW SW Code
CA4901258,SONOMA LODGE,California,Non-Transient non-community system,300,2,Ground water,GW,Groundwater,GW
CA3701909,CUYAMACA OUTDOOR SCHOOL,California,Non-Transient non-community system,500,21,Ground water,GW,Groundwater,GW
CA1502615,"FRITO-LAY, INC. WATER SYSTEM",California,Non-Transient non-community system,900,5,Ground water,GW,Groundwater,GW
CA2010801,VALLEY STATE PRISON,California,Community water system,"3,147",74,Ground water,GW,Groundwater,GW
CA3600532,CAMP SKY MEADOWS,California,Transient non-community system,152,5,Ground water,GW,Groundwater,GW
CA4200872,VENTUCOPA,California,Transient non-community system,36,9,Ground water,GW,Groundwater,GW
CA5400526,"WESPAK, INC.",California,Non-Transient non-community system,53,6,Ground water,GW,Groundwater,GW
CA3600149,"OG INVESTMENTS, LLC",California,Transient non-community system,30,4,Ground water,GW,Groundwater,GW
CA4010016,LOS OSOS COMMUNITY SERVICES DISTRICT,California,Community water system,"7,086",2776,Ground water,GW,Groundwater,GW
CA3600386,FOOTHILL ESTATES MHP,California,Community water system,70,46,Ground water,GW,Groundwater,GW
CA1000190,LONE STAR SCHOOL,California,Non-Transient non-community system,700,6,Ground water,GW,Groundwater,GW
CA1000104,CENTERVILLE SCHOOL,California,Non-Transient non-community system,489,11,Ground water,GW,Groundwater,GW
CA2400055,"SAPUTO DAIRY FOODS USA, LLC",California,Non-Transient non-community system,320,1,Ground water,GW,Groundwater,GW
CA5200520,KIRKWOOD ELEMENTARY SCHOOL,California,Non-Transient non-community system,111,4,Ground water,GW,Groundwater,GW
CA2701897,BERRY DR WS #02,California,Community water system,50,19,Ground water,GW,Groundwater,GW
CA3901258,AT&T CALIFORNIA - UER47,California,Non-Transient non-community system,30,1,Ground water,GW,Groundwater,GW
CA3901086,PACIFIC BELL UE17L WATER SYSTEM,California,Non-Transient non-community system,150,1,Ground water,GW,Groundwater,GW
CA3610702,USMC YERMO ANNEX,California,Non-Transient non-community system,743,58,Ground water,GW,Groundwater,GW
CA3610701,USMC NEBO (BARSTOW),California,Community water system,"1,126",419,Ground water purchased,GWP,Groundwater,GW
CA1000533,THREE CROWNS ASSOCIATION,California,Non-Transient non-community system,25,24,Ground water,GW,Groundwater,GW
CA2000953,NORTH FORK COMMUNITY DEVELOPMENT COUNCIL,California,Non-Transient non-community system,25,4,Ground water,GW,Groundwater,GW
CA2701034,APPLE AVE WS #02,California,Community water system,75,18,Ground water,GW,Groundwater,GW
CA4210017,VANDENBERG VILLAGE COMM. SERV. DIST.,California,Community water system,"7,308",2577,Ground water,GW,Groundwater,GW
CA3901282,CBUSO DBA WOODBRIDGE WINERY,California,Non-Transient non-community system,150,11,Ground water,GW,Groundwater,GW
CA5304501,SALYER MUTUAL WC (FORMERLY RIVERVIEW AC),California,Community water system,231,70,Surface water,SW,Surface water,SW
