pwsid,Name,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon,CASDWIS_County,CASDWIS_SourceType,watersource,purchased,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population,Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies,SC3i_Count_Distribution,SC5e_Drought_Impact,Distributiondis_any,n_ccr_downloaded,n_ccr_missing
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,50,19,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,19,50,RESIDENTIAL AREA,0,0.33,0.33,0.17,0.21,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0,0,0,0,4,0
CA0103041,TRAILER HAVEN MOBILE HOME PARK,459,191,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,191,459,MOBILE HOME PARK,0,0,0.67,0.67,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0,0,0,0,2,2
CA0105002,RIVERS END MARINA,32,19,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,524,207,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GWP,GW,Purchased,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,207,524,RESIDENTIAL AREA,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0,3,0,1,3,1
CA0105009,MOUNTAIN HOUSE SCHOOL,50,1,NON-TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,MOUNTAIN HOUSE SCHOOL,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,NON-TRANSIENT NON-COMMUNITY,1,50,SCHOOL,0,3,0,0,0.75,At-Risk,At-Risk,Non-Failing,At-Risk,0,Y,N,Y,0,0,0,0,0,4
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,9024,44,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,4
CA0105012,EBRPD - SUNOL REGIONAL WILDERNESS,91,4,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0105013,EBRPD - PIEDMONT STABLES,45,2,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0105016,MOUNTAIN HOUSE BAR,25,2,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0105017,RANCHO LOS MOCHOS-BSA CAMP,38,13,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4
CA0105018,PURPLE ORCHID RESORT SPA,52,4,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0105019,SUNOL SUPER STOP,155,1,TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,4
CA0105020,ALAMEDA COUNTY FAIRGROUNDS,82,33,NON-TRANSIENT NON-COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,GW,GW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3,1
CA0110001,ALAMEDA COUNTY WATER DISTRICT,344000,86959,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,60414,18595,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,18595,60414,RESIDENTIAL AREA,2.25,0,0,0,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,12,N/A,N,N,0,NA,NA,NA,4,0
CA0110005,EAST BAY MUD,1442800,392875,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0,ALAMEDA  ,SW,SW,Not purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
CA0110006,CITY OF HAYWARD,162954,36838,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1
CA0110008,CITY OF PLEASANTON,76689,22334,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,CITY OF PLEASANTON,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,22334,76689,RESIDENTIAL AREA,1.5,0,0,0.83,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,4,N/A,N,N,0,NA,NA,NA,4,0
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,98776,25458,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,25458,98776,RESIDENTIAL AREA,0,0,0,0.33,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,N/A,N,N,0,NA,NA,NA,4,0
CA0110011,CITY OF LIVERMORE,38892,9958,COMMUNITY,A,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0,ALAMEDA  ,SWP,SW,Purchased,CITY OF LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,9958,38892,RESIDENTIAL AREA,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0,NA,NA,NA,3,1
