id,n_ccr
CA0103040,4
CA0103041,2
CA0105008,3
CA0105020,3
CA0110001,3
CA0110003,4
CA0110005,4
CA0110006,3
CA0110008,4
CA0110009,4
CA0110011,3
CA0110012,4
CA0110016,3
CA0202501,2
CA0202503,4
CA0202504,4
CA0202522,2
CA0202599,2
CA0210001,4
CA0210002,4
CA0300011,3
CA0300016,2
CA0300019,1
CA0300024,4
CA0300037,3
CA0300053,4
CA0300062,3
CA0300078,1
CA0300448,3
CA0301038,4
CA0310001,4
CA0310002,4
CA0310003,4
CA0310004,4
CA0310005,3
CA0310006,4
CA0310008,4
CA0310011,2
CA0310012,4
CA0310018,2
CA0310019,4
CA0310021,4
CA0400001,3
CA0400004,1
CA0400007,1
CA0400008,1
CA0400012,4
CA0400013,2
CA0400016,1
CA0400019,3
CA0400023,3
CA0400040,3
CA0400062,2
CA0400067,3
CA0400068,1
CA0400070,2
CA0400091,4
CA0400123,2
CA0400149,2
CA0400150,3
CA0400151,1
CA0400154,1
CA0400161,4
CA0400162,1
CA0405001,4
CA0405003,2
CA0409181,1
CA0410001,4
CA0410002,4
CA0410003,2
CA0410004,2
CA0410005,4
CA0410006,4
CA0410007,4
CA0410008,3
CA0410009,4
CA0410011,4
CA0410012,4
CA0410018,4
CA0500019,3
CA0500027,1
CA0500068,4
CA0500095,1
CA0510001,1
CA0510002,4
CA0510003,2
CA0510004,4
CA0510005,4
CA0510006,4
CA0510009,4
CA0510010,4
CA0510011,3
CA0510012,4
CA0510016,4
CA0510017,4
CA0510019,4
CA0600005,4
CA0600008,4
CA0600012,4
CA0600013,4
CA0600065,4
CA0605002,4
CA0605004,4
CA0605007,4
CA0605011,4
CA0605012,4
CA0610001,4
CA0610002,4
CA0610003,4
CA0610004,4
CA0706029,1
CA0707501,1
CA0707507,2
CA0707517,1
CA0707523,2
CA0707547,2
CA0707553,1
CA0707569,1
CA0707572,2
CA0707575,3
CA0707577,4
CA0707613,4
CA0707623,2
CA0710001,4
CA0710002,4
CA0710003,4
CA0710004,4
CA0710006,3
CA0710007,3
CA0710008,4
CA0710009,4
CA0710800,4
CA0800532,1
CA0800548,1
CA0800552,2
CA0800555,1
CA0800556,1
CA0800557,2
CA0800605,1
CA0800700,3
CA0800800,2
CA0810001,3
CA0810002,2
CA0810800,2
CA0900102,4
CA0900111,4
CA0900112,4
CA0900210,4
CA0900300,4
CA0900304,4
CA0900308,4
CA0900309,4
CA0900404,4
CA0900410,4
CA0900422,4
CA0900529,4
CA0901217,4
CA0910001,4
CA0910002,1
CA0910003,3
CA0910006,3
CA0910007,2
CA0910012,2
CA0910013,2
CA0910015,2
CA0910017,4
CA0910018,4
CA0910019,3
CA1000004,4
CA1000005,4
CA1000018,4
CA1000019,4
CA1000021,4
CA1000023,4
CA1000039,4
CA1000040,4
CA1000041,4
CA1000042,4
CA1000053,4
CA1000056,4
CA1000057,4
CA1000060,4
CA1000061,4
CA1000063,4
CA1000069,4
CA1000075,3
CA1000078,4
CA1000104,4
CA1000105,4
CA1000111,4
CA1000136,4
CA1000148,4
CA1000176,4
CA1000177,4
CA1000178,4
CA1000180,4
CA1000181,4
CA1000182,4
CA1000184,4
CA1000185,4
CA1000186,4
CA1000187,4
CA1000189,4
CA1000190,4
CA1000192,4
CA1000193,4
CA1000194,4
CA1000196,4
CA1000198,4
CA1000199,4
CA1000200,4
CA1000201,4
CA1000204,4
CA1000206,4
CA1000208,4
CA1000213,4
CA1000214,4
CA1000217,4
CA1000221,4
CA1000229,4
CA1000238,4
CA1000244,4
CA1000247,4
CA1000257,4
CA1000259,4
CA1000260,4
CA1000265,4
CA1000267,4
CA1000277,1
CA1000280,4
CA1000295,4
CA1000298,4
CA1000299,4
CA1000315,4
CA1000316,4
CA1000324,4
CA1000345,4
CA1000359,4
CA1000361,4
CA1000362,4
CA1000366,4
CA1000367,4
CA1000369,4
CA1000377,3
CA1000378,4
CA1000381,4
CA1000383,4
CA1000405,4
CA1000411,4
CA1000416,3
CA1000424,4
CA1000426,4
CA1000430,4
CA1000440,4
CA1000447,4
CA1000459,4
CA1000461,4
CA1000467,4
CA1000468,3
CA1000471,4
CA1000472,4
CA1000473,4
CA1000476,4
CA1000480,4
CA1000484,4
CA1000485,4
CA1000486,4
CA1000490,4
CA1000495,2
CA1000514,4
CA1000517,1
CA1000526,4
CA1000533,4
CA1000534,4
CA1000541,4
CA1000545,1
CA1000546,4
CA1000548,4
CA1000550,4
CA1000551,4
CA1000553,2
CA1000554,4
CA1000555,4
CA1000562,4
CA1000564,4
CA1000565,4
CA1000566,4
CA1000570,4
CA1000575,4
CA1000576,4
CA1000578,4
CA1000580,4
CA1000583,4
CA1000584,4
CA1000585,3
CA1000586,3
CA1000593,4
CA1000602,4
CA1000607,4
CA1000627,4
CA1000639,4
CA1000641,4
CA1009020,4
CA1009023,4
CA1009027,4
CA1009028,4
CA1009039,4
CA1009051,4
CA1009078,4
CA1009111,4
CA1009120,4
CA1009179,4
CA1009214,4
CA1009222,4
CA1009232,4
CA1010001,4
CA1010003,4
CA1010004,4
CA1010005,4
CA1010006,4
CA1010007,4
CA1010013,4
CA1010017,4
CA1010018,4
CA1010019,4
CA1010020,4
CA1010021,4
CA1010023,4
CA1010024,4
CA1010025,4
CA1010026,4
CA1010027,4
CA1010028,4
CA1010029,4
CA1010030,4
CA1010034,4
CA1010035,4
CA1010039,4
CA1010042,4
CA1010044,4
CA1010049,4
CA1010051,4
CA1010052,4
CA1010053,4
CA1010055,4
CA1010057,4
CA1010062,4
CA1010339,4
CA1010501,4
CA1010800,4
CA1100203,1
CA1100237,1
CA1100254,3
CA1100404,4
CA1100413,1
CA1100436,1
CA1100444,2
CA1100445,2
CA1100452,4
CA1100616,4
CA1100711,1
CA1110001,2
CA1110002,4
CA1110003,4
CA1200518,3
CA1200538,1
CA1200541,1
CA1200544,1
CA1200553,3
CA1200566,3
CA1200579,1
CA1200588,4
CA1200590,4
CA1200591,4
CA1200592,2
CA1200637,1
CA1200643,4
CA1200671,4
CA1200684,1
CA1200687,4
CA1200701,4
CA1200706,2
CA1200707,2
CA1200715,4
CA1200718,3
CA1200729,3
CA1200772,2
CA1200778,3
CA1200817,2
CA1206004,3
CA1206012,1
CA1210001,4
CA1210002,4
CA1210004,4
CA1210006,4
CA1210007,4
CA1210009,4
CA1210010,3
CA1210011,3
CA1210012,4
CA1210013,4
CA1210015,4
CA1210016,4
CA1210017,4
CA1210018,4
CA1210019,3
CA1210020,4
CA1210021,4
CA1210022,4
CA1210023,1
CA1210024,2
CA1210800,3
CA1210801,3
CA1300009,4
CA1300018,3
CA1300513,2
CA1300514,2
CA1300517,2
CA1300546,3
CA1300549,3
CA1300550,4
CA1300553,2
CA1300554,2
CA1300555,3
CA1300556,2
CA1300560,1
CA1300571,4
CA1300572,2
CA1300575,4
CA1300579,4
CA1300588,3
CA1300616,2
CA1300620,2
CA1300622,2
CA1300626,2
CA1300628,2
CA1300629,3
CA1300635,4
CA1300637,4
CA1300638,4
CA1300643,4
CA1300644,2
CA1300652,3
CA1300661,2
CA1300664,2
CA1300668,2
CA1300669,2
CA1310001,3
CA1310002,4
CA1310003,4
CA1310004,4
CA1310005,4
CA1310006,4
CA1310007,4
CA1310008,4
CA1310013,3
CA1310700,4
CA1310800,4
CA1310801,4
CA1400002,4
CA1400004,3
CA1400005,4
CA1400006,3
CA1400007,3
CA1400010,4
CA1400019,4
CA1400020,3
CA1400025,4
CA1400026,4
CA1400027,3
CA1400030,4
CA1400031,4
CA1400034,4
CA1400036,3
CA1400037,4
CA1400045,4
CA1400055,3
CA1400056,4
CA1400059,3
CA1400064,4
CA1400066,4
CA1400068,4
CA1400070,4
CA1400072,2
CA1400078,4
CA1400098,4
CA1400099,4
CA1400109,4
CA1400110,4
CA1400111,4
CA1400135,4
CA1400144,4
CA1400155,4
CA1400503,4
CA1400511,4
CA1400518,4
CA1400522,4
CA1400525,4
CA1400526,4
CA1400527,4
CA1400528,3
CA1410001,4
CA1410005,3
CA1410006,4
CA1410007,3
CA1410008,4
CA1410009,4
CA1410502,4
CA1410503,4
CA1410505,4
CA1410800,4
