id,n_ccr
CA0103041,2
CA0105002,4
CA0105008,1
CA0105009,4
CA0105010,4
CA0105012,4
CA0105013,4
CA0105016,4
CA0105017,4
CA0105018,4
CA0105019,4
CA0105020,1
CA0110001,1
CA0110006,1
CA0110011,1
CA0110016,1
CA0202501,2
CA0202502,4
CA0202505,4
CA0202506,4
CA0202509,4
CA0202512,4
CA0202513,4
CA0202515,4
CA0202516,4
CA0202517,4
CA0202519,4
CA0202520,4
CA0202522,2
CA0202523,4
CA0202524,4
CA0202525,4
CA0202529,4
CA0202532,4
CA0202542,4
CA0202547,4
CA0202548,4
CA0202549,4
CA0202550,4
CA0202552,4
CA0202554,4
CA0202556,4
CA0202557,4
CA0202562,4
CA0202564,4
CA0202565,4
CA0202566,4
CA0202599,2
CA0300007,4
CA0300010,4
CA0300011,1
CA0300016,2
CA0300019,3
CA0300028,4
CA0300032,4
CA0300033,4
CA0300034,4
CA0300036,4
CA0300037,1
CA0300043,4
CA0300048,4
CA0300049,4
CA0300051,4
CA0300052,4
CA0300062,1
CA0300070,4
CA0300077,4
CA0300078,3
CA0300081,4
CA0300085,4
CA0300086,4
CA0300087,4
CA0300088,4
CA0300089,4
CA0300090,4
CA0300448,1
CA0300524,4
CA0300667,4
CA0310005,1
CA0310011,2
CA0310018,2
CA0310300,4
CA0400001,1
CA0400003,4
CA0400004,3
CA0400007,3
CA0400008,3
CA0400010,4
CA0400013,2
CA0400014,4
CA0400016,3
CA0400019,1
CA0400020,4
CA0400021,4
CA0400023,1
CA0400026,4
CA0400027,4
CA0400030,4
CA0400040,1
CA0400042,4
CA0400051,4
CA0400060,4
CA0400062,2
CA0400063,4
CA0400067,1
CA0400068,3
CA0400070,2
CA0400073,4
CA0400078,4
CA0400079,4
CA0400090,4
CA0400093,4
CA0400103,4
CA0400105,4
CA0400106,4
CA0400111,4
CA0400117,4
CA0400120,4
CA0400123,2
CA0400132,4
CA0400133,4
CA0400137,4
CA0400138,4
CA0400143,4
CA0400149,2
CA0400150,1
CA0400151,3
CA0400154,3
CA0400155,4
CA0400160,4
CA0400162,3
CA0400166,4
CA0400169,4
CA0405003,2
CA0409181,3
CA0409183,4
CA0409200,4
CA0410003,2
CA0410004,2
CA0410008,1
CA0500003,4
CA0500007,4
CA0500019,1
CA0500021,4
CA0500026,4
CA0500027,3
CA0500028,4
CA0500032,4
CA0500043,4
CA0500044,4
CA0500050,4
CA0500055,4
CA0500057,4
CA0500069,4
CA0500075,4
CA0500082,4
CA0500085,4
CA0500088,4
CA0500090,4
CA0500091,4
CA0500095,3
CA0500099,4
CA0500104,4
CA0500105,4
CA0510001,3
CA0510003,2
CA0510011,1
CA0600001,4
CA0600003,4
CA0600009,4
CA0600016,4
CA0600027,4
CA0600032,4
CA0600033,4
CA0600042,4
CA0600050,4
CA0600056,4
CA0600076,4
CA0605005,4
CA0605006,4
CA0605013,4
CA0605015,4
CA0701706,4
CA0701707,4
CA0706004,4
CA0706005,4
CA0706018,4
CA0706022,4
CA0706028,4
CA0706029,3
CA0706030,4
CA0706031,4
CA0706032,4
CA0706034,4
CA0706037,4
CA0706049,4
CA0706054,4
