id,n_ccr_missing
CA0110018,4
CA0205425,3
CA0300055,4
CA0400065,2
CA0400140,4
CA0400158,1
CA0409177,1
CA0409187,3
CA0409188,3
CA0409189,4
CA0409194,1
CA0500009,4
CA0500039,1
CA0500097,4
CA0706050,4
CA0900660,1
CA1000663,1
CA1000673,4
CA1100101,1
CA1100104,2
CA1100232,2
CA1100440,2
CA1100448,3
CA1100527,2
CA1100749,4
CA1105003,1
CA1105005,1
CA1105006,2
CA1206016,1
CA1300653,2
CA1300676,1
CA1300679,2
CA1300685,2
CA1300693,3
CA1310016,1
CA1310019,1
CA1410002,4
CA1410003,4
CA1410004,4
CA1410510,4
CA1502615,1
CA1503336,1
CA1503652,3
CA1504012,4
CA1805011,4
CA1900040,1
CA1900057,1
CA1900707,1
CA1901000,1
CA1909648,4
CA1910087,4
CA1910128,1
CA1910199,1
CA2000384,2
CA2000600,2
CA2000601,2
CA2000602,2
CA2000619,1
CA2000655,1
CA2000659,1
CA2000681,1
CA2000733,2
CA2000760,2
CA2000840,1
CA2000951,3
CA2000955,2
CA2000956,3
CA2300541,1
CA2300617,3
CA2300628,3
CA2300755,1
CA2300847,3
CA2300907,4
CA2301010,4
CA2400076,4
CA2500513,4
CA2600568,1
CA2600570,1
CA2700727,1
CA2701679,1
CA2702254,3
CA2702484,1
CA2702652,1
CA2702704,1
CA2702830,1
CA2800024,1
CA2800043,3
CA2800059,2
CA2800129,3
CA2800301,3
CA2800556,1
CA2800580,3
CA2800588,2
CA2800609,3
CA2800736,2
CA2800848,3
CA2800970,3
CA2801002,3
CA2801004,3
CA2801006,2
CA2801007,4
CA2801024,1
CA2801028,1
CA2801031,1
CA2801033,1
CA2801035,1
CA2801036,2
CA2801049,1
CA2801055,1
CA2801057,1
CA2801070,3
CA2801073,4
CA2801075,3
CA2801076,1
CA2801084,2
CA2801086,3
CA2801088,3
CA2803912,2
CA2810008,4
CA2900330,4
CA2900507,3
CA2900508,3
CA2900532,4
CA2900535,2
CA2900536,3
CA2900563,4
CA2900578,4
CA2900587,3
CA2900593,3
CA2900601,4
CA2900618,3
CA2900626,3
CA2901208,3
CA2904011,2
CA3000759,1
CA3000819,1
CA3010093,3
CA3010120,1
CA3100072,4
CA3100083,3
CA3100105,3
CA3103291,4
CA3103294,3
CA3104508,1
CA3105779,1
CA3106937,3
CA3107084,3
CA3107310,4
CA3107322,3
CA3107329,3
CA3107342,4
CA3200111,4
CA3200141,3
CA3200166,2
CA3205005,4
CA3301133,1
CA3301186,4
CA3301308,1
CA3301309,1
CA3301385,1
CA3301622,1
CA3301961,1
CA3303026,1
CA3303072,1
CA3310075,4
CA3310083,4
CA3400240,4
CA3400248,3
CA3400250,3
CA3400251,3
CA3400253,3
CA3400254,3
CA3400267,4
CA3400268,4
CA3400271,4
CA3400273,2
CA3400278,3
CA3400358,4
CA3400394,4
CA3400402,4
CA3400416,4
CA3400425,4
CA3400429,4
CA3400434,2
CA3400452,4
CA3400453,3
CA3400454,3
CA3400456,4
CA3400475,2
CA3410802,2
CA3500926,2
CA3500928,1
CA3510007,4
CA3600036,1
CA3600062,4
CA3600106,3
CA3600154,1
CA3600193,1
CA3600393,2
CA3600432,1
CA3600478,1
CA3600585,2
CA3600597,2
CA3600707,3
CA3601057,1
CA3601064,1
CA3601082,2
CA3601095,1
CA3601122,3
CA3601135,1
CA3601150,1
CA3601159,2
CA3601181,1
CA3601185,1
CA3610006,1
CA3610019,1
CA3610129,1
CA3700018,1
CA3700044,4
CA3700117,1
CA3700118,1
CA3700880,2
CA3700912,2
CA3700953,2
CA3700963,1
CA3701005,2
CA3701909,2
CA3702364,1
CA3705073,1
CA3710042,3
CA3710045,4
CA3710048,1
CA3810008,4
CA3900742,1
CA3900748,2
CA3900756,2
CA3900757,2
CA3900796,3
CA3900798,4
CA3900815,1
CA3900978,2
CA3901014,1
CA3901032,1
CA3901080,4
CA3901082,1
CA3901086,4
CA3901090,1
CA3901107,1
CA3901167,2
CA3901176,1
CA3901181,2
CA3901194,1
