id,n_ccr_downloaded
CA0110010,4
CA0110650,4
CA0110701,4
CA0205425,1
CA0300073,4
CA0400065,2
CA0400158,3
CA0409177,3
CA0409187,1
CA0409188,1
CA0409194,3
CA0409197,4
CA0500039,3
CA0500053,4
CA0710010,4
CA0710011,4
CA0900649,4
CA0900659,4
CA0900660,3
CA1000643,4
CA1000645,4
CA1000663,3
CA1100101,3
CA1100104,2
CA1100232,2
CA1100440,2
CA1100448,1
CA1100527,2
CA1105003,3
CA1105005,3
CA1105006,2
CA1110800,4
CA1206016,3
CA1300642,4
CA1300653,2
CA1300676,3
CA1300679,2
CA1300685,2
CA1300693,1
CA1310016,3
CA1310019,3
CA1500517,4
CA1502221,4
CA1502229,4
CA1502231,4
CA1502561,4
CA1502580,4
CA1502581,4
CA1502615,3
CA1502691,4
CA1502697,4
CA1502759,4
CA1502763,4
CA1502771,4
CA1502820,4
CA1503104,4
CA1503194,4
CA1503209,4
CA1503275,4
CA1503330,4
CA1503336,3
CA1503374,4
CA1503440,4
CA1503521,4
CA1503543,4
CA1503642,4
CA1503652,1
CA1503653,4
CA1503663,4
CA1503666,4
CA1503671,4
CA1503681,4
CA1503686,4
CA1504000,4
CA1504001,4
CA1504003,4
CA1504005,4
CA1504006,4
CA1504007,4
CA1504008,4
CA1510040,4
CA1510053,4
CA1600009,4
CA1600011,4
CA1600013,4
CA1600015,4
CA1600022,4
CA1600050,4
CA1600303,4
CA1600602,4
CA1600605,4
CA1600609,4
CA1900018,4
CA1900035,4
CA1900040,3
CA1900057,3
CA1900089,4
CA1900679,4
CA1900707,3
CA1900750,4
CA1900751,4
CA1900752,4
CA1900764,4
CA1900886,4
CA1900904,4
CA1900929,4
CA1901000,3
CA1907011,4
CA1909627,4
CA1910032,4
CA1910041,4
CA1910045,4
CA1910128,3
CA1910199,3
CA1910443,4
CA2000202,4
CA2000206,4
CA2000275,4
CA2000352,4
CA2000370,4
CA2000384,2
CA2000507,4
CA2000558,4
CA2000597,4
CA2000598,4
CA2000600,2
CA2000601,2
CA2000602,2
CA2000607,4
CA2000611,4
CA2000616,4
CA2000619,3
CA2000641,4
CA2000655,3
CA2000659,3
CA2000660,4
CA2000672,4
CA2000681,3
CA2000682,4
CA2000695,4
CA2000733,2
CA2000760,2
CA2000794,4
CA2000840,3
CA2000843,4
CA2000844,4
CA2000846,4
CA2000848,4
CA2000855,4
CA2000920,4
CA2000947,4
CA2000951,1
CA2000953,4
CA2000955,2
CA2000956,1
CA2000961,4
CA2204054,4
CA2210908,4
CA2210937,4
CA2300541,3
CA2300617,1
CA2300628,1
