PWSID,Water_System_Name,County,Regulating_agency,Water_System_Type,Service_Connections,Population, Primary_Service_Area,Water_Quality_Category_Score,Accessibility_Category_Score,Affordability_Category_Score,TMF_Capacity_Category_Score,Total_Risk_Assessment_Score,Automatically_At_Risk,Risk_Assessment_Result,Failing_Status,SAFER_Status,Number_of_Water_Sources,Absence_of_Interties,Source_Capacity_Violations,Bottled_Water_or_Hauled_Water_Reliance,Significant_Deficiencies
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,19,50,RESIDENTIAL AREA              ,0,0.33,0.33,0.17,0.21,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
CA0103041,TRAILER HAVEN MOBILE HOME PARK,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,191,459,MOBILE HOME PARK              ,0,0,0.67,0.67,0.34,--,Not At-Risk,Non-Failing,Not At-Risk,2,N,N,N,0
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,207,524,RESIDENTIAL AREA              ,0,1,0,0,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0105009,MOUNTAIN HOUSE SCHOOL,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,NON-TRANSIENT NON-COMMUNITY,1,50,SCHOOL                        ,0,3,0,0,0.75,At-Risk,At-Risk,Non-Failing,At-Risk,0,Y,N,Y,0
CA0110003,CALIFORNIA WATER SERVICE - LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,18595,60414,RESIDENTIAL AREA              ,2.25,0,0,0,0.56,--,Not At-Risk,Non-Failing,Not At-Risk,12,N/A,N,N,0
CA0110008,CITY OF PLEASANTON,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,22334,76689,RESIDENTIAL AREA              ,1.5,0,0,0.83,0.58,--,Not At-Risk,Non-Failing,Not At-Risk,4,N/A,N,N,0
CA0110009,DUBLIN SAN RAMON SERVICES DISTRICT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,25458,98776,RESIDENTIAL AREA              ,0,0,0,0.33,0.08,--,Not At-Risk,Non-Failing,Not At-Risk,4,N/A,N,N,0
CA0110011,CITY OF LIVERMORE,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,9958,38892,RESIDENTIAL AREA              ,0,0,0,0,0,--,Not At-Risk,Non-Failing,Not At-Risk,3,N,N,N,0
CA0110012,TOWN OF SUNOL - SFPUC,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,102,281,RESIDENTIAL AREA              ,0,1,0,0.67,0.42,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0110016,ALAMEDA POINT,ALAMEDA,DISTRICT 04 - SAN FRANCISCO,COMMUNITY,378,1400,OTHER AREA                    ,0,1,0.33,0.67,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,N,N,N,0
CA0202501,DIAMOND VALLEY SCHOOL,ALPINE,LPA32 - ALPINE COUNTY,NON-TRANSIENT NON-COMMUNITY,5,100,SCHOOL                        ,0,1.33,0,0,0.33,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0202503,WOODFORDS MUTUAL WATER COMPANY,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,16,50,RESIDENTIAL AREA              ,0,2,0,0,0.5,--,Not At-Risk,Non-Failing,Not At-Risk,1,Y,N,N,0
CA0202504,MARKLEEVILLE WATER CO.,ALPINE,LPA32 - ALPINE COUNTY,COMMUNITY,167,175,RESIDENTIAL AREA              ,0,0.33,0,0.67,0.25,--,Not At-Risk,Non-Failing,Not At-Risk,3,Y,N,N,0
