,pwsid,health_5yr_count,health_5yr_count_no2ndary_mcl,health_5yr_count_no_2ndary_or_lsl,mr_5yr_count,mon_only_5yr_count,health_5yr_binary,health_5yr_no2ndary_mcl_binary,health_5yr_no2ndary_or_lsl_binary,mr_5yr_binary,mon_only_5yr_binary,pws_name,pws_type_code,gw_sw_code,primary_source_code,population_served_count,service_connections_count,carceral_sys
1,CA0103039,0,0,0,0,0,0,0,0,0,0,MOHRLAND MUTUAL WATER SYSTEM,CWS,SW,SWP,116,99,other_water_systems
2,CA0103040,1,1,0,1,0,1,1,0,1,0,NORRIS CANYON PROPERTY OWNERS ASSN,CWS,GW,GW,50,19,other_water_systems
3,CA0103041,0,0,0,0,0,0,0,0,0,0,TRAILER HAVEN MOBILE HOME PARK,CWS,SW,SWP,459,191,other_water_systems
4,CA0105008,1,1,0,1,0,1,1,0,1,0,CASTLEWOOD DOMESTIC WATER SYSTEM,CWS,GW,GWP,524,207,other_water_systems
5,CA0105009,0,0,0,0,0,0,0,0,0,0,MOUNTAIN HOUSE SCHOOL,NTNCWS,SW,SWP,50,1,other_water_systems
6,CA0105020,1,1,0,1,0,1,1,0,1,0,ALAMEDA COUNTY FAIRGROUNDS,NTNCWS,GW,GW,82,33,other_water_systems
7,CA0110001,1,0,0,0,0,1,0,0,0,0,ALAMEDA COUNTY WATER DISTRICT,CWS,SW,SW,344000,86959,carceral_serving_water_system
8,CA0110003,0,0,0,0,0,0,0,0,0,0,CALIFORNIA WATER SERVICE - LIVERMORE,CWS,SW,SWP,60414,18595,other_water_systems
9,CA0110005,0,0,0,0,0,0,0,0,0,0,EAST BAY MUD,CWS,SW,SW,1442800,392875,carceral_serving_water_system
10,CA0110006,0,0,0,0,0,0,0,0,0,0,CITY OF HAYWARD,CWS,SW,SWP,162954,36838,carceral_serving_water_system
11,CA0110008,0,0,0,0,0,0,0,0,0,0,CITY OF PLEASANTON,CWS,SW,SWP,76689,22334,other_water_systems
12,CA0110009,0,0,0,0,0,0,0,0,0,0,DUBLIN SAN RAMON SERVICES DISTRICT,CWS,SW,SWP,98776,25458,carceral_serving_water_system
13,CA0110010,0,0,0,0,0,0,0,0,0,0,ZONE 7 WATER AGENCY,CWS,SW,SW,40,12,other_water_systems
14,CA0110011,0,0,0,0,0,0,0,0,0,0,CITY OF LIVERMORE,CWS,SW,SWP,38892,9958,other_water_systems
15,CA0110012,0,0,0,0,0,0,0,0,0,0,TOWN OF SUNOL - SFPUC,CWS,SW,SWP,281,102,other_water_systems
16,CA0110016,0,0,0,0,0,0,0,0,0,0,ALAMEDA POINT,CWS,SW,SWP,1400,378,other_water_systems
17,CA0110018,0,0,0,0,0,0,0,0,0,0,SFPUC-PLEASANTON WELLS,CWS,GW,GW,1,1,other_water_systems
18,CA0110650,0,0,0,0,0,0,0,0,0,0,USBR-SLDMWA - CVP JONES PUMPING PLANT,NTNCWS,SW,SW,90,1,other_water_systems
19,CA0110701,0,0,0,0,0,0,0,0,0,0,LAWRENCE LIVERMORE NATIONAL LAB SITE 200,NTNCWS,SW,SWP,10870,2,other_water_systems
20,CA0202501,0,0,0,0,0,0,0,0,0,0,DIAMOND VALLEY SCHOOL,NTNCWS,GW,GW,100,5,other_water_systems
21,CA0202503,0,0,0,0,0,0,0,0,0,0,WOODFORDS MUTUAL WATER COMPANY,CWS,GW,GW,50,16,other_water_systems
22,CA0202504,0,0,0,6,6,0,0,0,1,1,MARKLEEVILLE WATER CO.,CWS,SW,SW,25,167,other_water_systems
23,CA0202522,1,1,0,1,0,1,1,0,1,0,SIERRA PINES MOBILE HOME PARK,CWS,GW,GW,70,32,other_water_systems
24,CA0202599,0,0,0,6,6,0,0,0,1,1,EARLY LEARNING CENTER,NTNCWS,GW,GW,35,1,other_water_systems
25,CA0205425,1,1,0,1,0,1,1,0,1,0,ALPINE CO COMMUNITY DEVELOPMENT,NTNCWS,GW,GW,30,10,other_water_systems
26,CA0210001,2,2,2,0,0,1,1,1,0,0,LAKE ALPINE WATER COMPANY,CWS,SW,SW,625,490,other_water_systems
27,CA0210002,1,0,0,1,1,1,0,0,1,1,KIRKWOOD MEADOWS PUBLIC UTILITY DISTRICT,CWS,GW,GW,7851,866,other_water_systems
