pwsid,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon
CA0103040,50,19,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0103041,459,191,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105002,32,19,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105008,524,207,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105009,50,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105010,9024,44,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105012,91,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105013,45,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105016,25,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105017,38,13,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105018,52,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105019,155,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105020,82,33,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110001,344000,86959,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110003,60414,18595,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110005,1442800,392875,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110006,162954,36838,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110008,76689,22334,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110009,98776,25458,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,nonexclusive_carceral,0,0,0,0
CA0110011,38892,9958,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110012,281,102,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0110016,1400,378,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0202501,100,5,NON-TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202502,50,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202503,50,16,COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202504,175,167,COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202505,50,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202506,25,11,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202509,25,26,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202512,60,28,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202513,32,32,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202515,33,26,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202516,30,22,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202517,50,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202519,25,15,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202520,25,25,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202522,70,32,COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202523,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202524,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202525,26,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202529,3560,5,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202532,1118,7,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202542,25,6,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202547,53,8,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202548,25,13,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202549,3500,4,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202550,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202552,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202554,25,1,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
CA0202556,25,5,TRANSIENT NON-COMMUNITY,A ,LPA32 - ALPINE COUNTY,non_carceral,0,0,0,0
