pwsid,Name,population,service_connections,state_classification,activity_status_cd,regulating_agency,carceral_sys,count_of_viols_over5yrs_mcl,count_of_viols_over5yrs_mon,binary_viol_over5yrs_mcl,binary_viol_over5yrs_mon
CA0103040,NORRIS CANYON PROPERTY OWNERS ASSN,50,19,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0103041,TRAILER HAVEN MOBILE HOME PARK,459,191,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105002,RIVERS END MARINA,32,19,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105008,CASTLEWOOD DOMESTIC WATER SYSTEM,524,207,COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105009,MOUNTAIN HOUSE SCHOOL,50,1,NON-TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105010,EBRPD - DEL VALLE REGIONAL PARK,9024,44,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105012,EBRPD - SUNOL REGIONAL WILDERNESS,91,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105013,EBRPD - PIEDMONT STABLES,45,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105016,MOUNTAIN HOUSE BAR,25,2,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105017,RANCHO LOS MOCHOS-BSA CAMP,38,13,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105018,PURPLE ORCHID RESORT SPA,52,4,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
CA0105019,SUNOL SUPER STOP,155,1,TRANSIENT NON-COMMUNITY,A ,DISTRICT 04 - SAN FRANCISCO,non_carceral,0,0,0,0
