"","pwsid","population_served_count_echo","service_connections_count_echo","pws_type_code_echo","gw_sw_code_echo","primary_source_code_echo","carceral_sys","count_of_viols_over5yrs_health","count_of_viols_over5yrs_mon","binary_viol_over5yrs_health","binary_viol_over5yrs_mon"
"1","CA0103039",116,99,"CWS","SW","SWP","other_water_systems",0,0,0,0
"2","CA0103040",50,19,"CWS","GW","GW","other_water_systems",0,0,0,0
"3","CA0103041",459,191,"CWS","SW","SWP","other_water_systems",0,0,0,0
"4","CA0105008",524,207,"CWS","GW","GWP","other_water_systems",0,0,0,0
"5","CA0105009",50,1,"NTNCWS","SW","SWP","other_water_systems",0,0,0,0
"6","CA0105020",82,33,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"7","CA0110001",344000,86959,"CWS","SW","SW","carceral_serving_water_system",0,0,0,0
"8","CA0110003",60414,18595,"CWS","SW","SWP","other_water_systems",0,0,0,0
"9","CA0110005",1442800,392875,"CWS","SW","SW","carceral_serving_water_system",0,0,0,0
"10","CA0110006",162954,36838,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"11","CA0110008",76689,22334,"CWS","SW","SWP","other_water_systems",0,0,0,0
"12","CA0110009",98776,25458,"CWS","SW","SWP","carceral_serving_water_system",0,0,0,0
"13","CA0110010",40,12,"CWS","SW","SW","other_water_systems",0,0,0,0
"14","CA0110011",38892,9958,"CWS","SW","SWP","other_water_systems",0,0,0,0
"15","CA0110012",281,102,"CWS","SW","SWP","other_water_systems",0,0,0,0
"16","CA0110016",1400,378,"CWS","SW","SWP","other_water_systems",0,0,0,0
"17","CA0110018",1,1,"CWS","GW","GW","other_water_systems",0,0,0,0
"18","CA0110650",90,1,"NTNCWS","SW","SW","other_water_systems",0,0,0,0
"19","CA0110701",10870,2,"NTNCWS","SW","SWP","other_water_systems",0,0,0,0
"20","CA0202501",100,5,"NTNCWS","GW","GW","other_water_systems",0,0,0,0
"21","CA0202503",50,16,"CWS","GW","GW","other_water_systems",0,0,0,0
"22","CA0202504",25,167,"CWS","SW","SW","other_water_systems",0,0,0,0
"23","CA0202522",70,32,"CWS","GW","GW","other_water_systems",0,0,0,0
